kingdom	phylum	class	order	family	genus	species	status	query
Animalia	Chordata	Mammalia	Monotremata	Tachyglossidae	Tachyglossus	Tachyglossus_aculeatus	itis_species	Tachyglossus_aculeatus
Animalia	Chordata	Mammalia	Monotremata	Tachyglossidae	Zaglossus	Zaglossus_bruijni	itis_species	Zaglossus_bruijni
Animalia	Chordata	Mammalia	Monotremata	Ornithorhynchidae	Ornithorhynchus	Ornithorhynchus_anatinus	itis_species	Ornithorhynchus_anatinus
Animalia	Chordata	Mammalia	Monotremata	Tachyglossidae	Zaglossus	Zaglossus_attenboroughi	itis_species	Zaglossus_attenboroughi
Animalia	Chordata	Mammalia	Monotremata	Tachyglossidae	Zaglossus	Zaglossus_bartoni	itis_species	Zaglossus_bartoni
Animalia	Chordata	Mammalia	Artiodactyla	Giraffidae	Giraffa	Giraffa_giraffa	itis_species	Giraffa_giraffa
Animalia	Chordata	Mammalia	Artiodactyla	Giraffidae	Giraffa	Giraffa_tippelskirchi	itis_species	Giraffa_tippelskirchi
Animalia	Chordata	Mammalia	Artiodactyla	Giraffidae	Giraffa	Giraffa_reticulata	itis_species	Giraffa_reticulata
Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus_californicus	itis_species	Lepus_californicus
Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus_callotis	itis_species	Lepus_callotis
Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus_capensis	itis_species	Lepus_capensis
Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus_townsendii	itis_species	Lepus_townsendii
Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus_cuniculus	itis_species	Oryctolagus_cuniculus
Animalia	Chordata	Mammalia	Sirenia	Trichechidae	Trichechus	Trichechus_manatus	itis_species	Trichechus_manatus
Animalia	Chordata	Mammalia	Sirenia	Trichechidae	Trichechus	Trichechus_senegalensis	itis_species	Trichechus_senegalensis
Animalia	Chordata	Mammalia	Sirenia	Trichechidae	Trichechus	Trichechus_inunguis	itis_species	Trichechus_inunguis
Animalia	Chordata	Mammalia	Artiodactyla	Antilocapridae	Antilocapra	Antilocapra_americana	itis_species	Antilocapra_americana
Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Brachylagus	Brachylagus_idahoensis	itis_species	Brachylagus_idahoensis
Animalia	Chordata	Mammalia	Paucituberculata	Caenolestidae	Caenolestes	Caenolestes_caniventer	itis_species	Caenolestes_caniventer
Animalia	Chordata	Mammalia	Paucituberculata	Caenolestidae	Caenolestes	Caenolestes_convelatus	itis_species	Caenolestes_convelatus
Animalia	Chordata	Mammalia	Paucituberculata	Caenolestidae	Caenolestes	Caenolestes_fuliginosus	itis_species	Caenolestes_fuliginosus
Animalia	Chordata	Mammalia	Paucituberculata	Caenolestidae	Lestoros	Lestoros_inca	itis_species	Lestoros_inca
Animalia	Chordata	Mammalia	Paucituberculata	Caenolestidae	Rhyncholestes	Rhyncholestes_raphanurus	itis_species	Rhyncholestes_raphanurus
Animalia	Chordata	Mammalia	Microbiotheria	Microbiotheriidae	Dromiciops	Dromiciops_gliroides	itis_species	Dromiciops_gliroides
Animalia	Chordata	Mammalia	Dasyuromorphia	Thylacinidae	Thylacinus	Thylacinus_cynocephalus	itis_species	Thylacinus_cynocephalus
Animalia	Chordata	Mammalia	Dasyuromorphia	Myrmecobiidae	Myrmecobius	Myrmecobius_fasciatus	itis_species	Myrmecobius_fasciatus
Animalia	Chordata	Mammalia	Peramelemorphia	Chaeropodidae	Chaeropus	Chaeropus_ecaudatus	itis_species	Chaeropus_ecaudatus
Animalia	Chordata	Mammalia	Peramelemorphia	Thylacomyidae	Macrotis	Macrotis_lagotis	itis_species	Macrotis_lagotis
Animalia	Chordata	Mammalia	Peramelemorphia	Thylacomyidae	Macrotis	Macrotis_leucura	itis_species	Macrotis_leucura
Animalia	Chordata	Mammalia	Notoryctemorphia	Notoryctidae	Notoryctes	Notoryctes_caurinus	itis_species	Notoryctes_caurinus
Animalia	Chordata	Mammalia	Notoryctemorphia	Notoryctidae	Notoryctes	Notoryctes_typhlops	itis_species	Notoryctes_typhlops
Animalia	Chordata	Mammalia	Artiodactyla	Tayassuidae	Pecari	Pecari_tajacu	itis_species	Pecari_tajacu
Animalia	Chordata	Mammalia	Artiodactyla	Tayassuidae	Tayassu	Tayassu_pecari	itis_species	Tayassu_pecari
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Anathana	Anathana_ellioti	itis_species	Anathana_ellioti
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Dendrogale	Dendrogale_melanura	itis_species	Dendrogale_melanura
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Dendrogale	Dendrogale_murina	itis_species	Dendrogale_murina
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_belangeri	itis_species	Tupaia_belangeri
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_chrysogaster	itis_species	Tupaia_chrysogaster
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_dorsalis	itis_species	Tupaia_dorsalis
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_glis	itis_species	Tupaia_glis
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_gracilis	itis_species	Tupaia_gracilis
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_javanica	itis_species	Tupaia_javanica
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_longipes	itis_species	Tupaia_longipes
Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia_minor	itis_species	Tupaia_minor
