Bos,taurus
Capra,hircus
Capricornis,milneedwardsii
Naemorhedus,griseus
Ovis,aries
Elaphodus,cephalophus
Muntiacus,muntjak
Muntiacus,reevesi
Rusa,unicolor
Moschus,berezovskii
Sus,scrofa
Nyctereutes,procyonoides
Vulpes,vulpes
Catopuma,temminckii
Neofelis,nebulosa
Prionailurus,bengalensis
Herpestes,urva
Arctonyx,collaris
Lutra,lutra
Martes,flavigula
Meles,leucurus
Melogale,moschata
Mustela,kathiah
Mustela,sibirica
Ursus,thibetanus
Paguma,larvata
Prionodon,pardicolor
Viverra,zibetha
Viverricula,indica
Aselliscus,stoliczkanus
Hipposideros,armiger
Hipposideros,fulvus
Hipposideros,pomona
Rousettus,leschenaultii
Rhinolophus,affinis
Rhinolophus,lepidus
Rhinolophus,pusillus
Rhinolophus,rouxii
Rhinolophus,sinicus
Rhinolophus,thomasi
Eptesicus,serotinus
Harpiocephalus,harpia
Ia,io
Miniopterus,pusillus
Miniopterus,schreibersi
Murina,aurata
Murina,lorelieae
Myotis,altarium
Myotis,chinensis
Myotis,muricola
Pipistrellus,abramus
Pipistrellus,pipistrellus
Scotophilus,heathii
Hylomys,suillus
Neotetracus,sinensis
Anourosorex,squamipes
Blarinella,griselda
Blarinella,quadraticauda
Chimarrogale,himalayica
Chodsigoa,hoffmanni
Chodsigoa,parva
Chodsigoa,smithii
Crocidura,attenuata
Crocidura,fuliginosa
Crocidura,horsfieldii
Crocidura,indochinensis
Crocidura,rapax
Crocidura,wuchihensis
Episoriculus,caudatus
Episoriculus,leucops
Episoriculus,macrurus
Nectogale,elegans
Sorex,bedfordiae
Sorex,excelsus
Parascaptor,leucura
Scaptonyx,fusicaudus
Uropsilus,gracilis
Lepus,comus
Manis,pentadactyla
Macaca,arctoides
Macaca,assamensis
Macaca,mulatta
Trachypithecus,phayrei
Nomascus,concolor
Eothenomys,cachinus
Eothenomys,eleusis
Eothenomys,miletus
Eothenomys,olitor
Atherurus,macrourus
Hystrix,brachyurus
Apodemus,chevrieri
Apodemus,draco
Bandicota,indica
Berylmys,bowersii
Chiropodomys,gliroides
Chiropodomys,jingdongensis
Leopoldamys,edwardsi
Leopoldamys,neilli
Micromys,minutus
Mus,musculus
Mus,pahari
Niviventer,andersoni
Niviventer,confucianus
Niviventer,cremoriventer
Niviventer,eha
Niviventer,excelsior
Niviventer,fulvescens
Rattus,andamanensis
Rattus,brunneusculus
Rattus,nitidus
Rattus,tanezumi
Vernaya,fulva
Typhlomys,cinereus
Hylopetes,alboniger
Petaurista,elegans
Petaurista,philippensis
Callosciurus,erythraeus
Dremomys,gularis
Dremomys,pernyi
Dremomys,rufigenis
Ratufa,bicolor
Sciurotamias,forresti
Tamiops,mcclellandii
Tamiops,swinhoei
Rhizomys,sinensis
Tupaia,belangeri
Aix,galericulata
Anas,clypeata
Anas,crecca
Mergus,merganser
Tadorna,ferruginea
Apus,affinis
Apus,pacificus
Hirundapus,caudacutus
Upupa,epops
Caprimulgus,indicus
Caprimulgus,macrurus
Charadrius,dubius
Charadrius,placidus
Pluvialis,fulva
Vanellus,cinereus
Vanellus,duvaucelii
Vanellus,vanellus
Himantopus,himantopus
Actitis,hypoleucos
Gallinago,gallinago
Gallinago,solitaria
Gallinago,stenura
Scolopax,rusticola
Tringa,glareola
Tringa,ochropus
Anastomus,oscitans
Chalcophaps,indica
Columba,hodgsonii
Streptopelia,chinensis
Streptopelia,orientalis
Streptopelia,tranquebarica
Treron,apicauda
Treron,curvirostra
Treron,sphenurus
Alcedo,atthis
Halcyon,pileata
Halcyon,smyrnensis
Megaceryle,lugubris
Coracias,benghalensis
Eurystomus,orientalis
Merops,orientalis
Merops,viridis
Nyctyornis,athertoni
Centropus,bengalensis
Centropus,sinensis
Cacomantis,merulinus
Cacomantis,sonneratii
Chrysococcyx,maculatus
Clamator,coromandus
Cuculus,canorus
Cuculus,micropterus
Cuculus,poliocephalus
Cuculus,saturatus
Eudynamys,scolopacea
Hierococcyx,fugax
Hierococcyx,sparverioides
Phaenicophaeus,tristis
Surniculus,lugubris
Accipiter,nisus
Accipiter,trivirgatus
Accipiter,virgatus
Butastur,liventer
Buteo,buteo
Circus,melanoleucos
Gyps,himalayensis
Haliastur,indus
Hieraaetus,kienerii
Ictinaetus,malayensis
Pernis,ptilorhynchus
Spilornis,cheela
Spizaetus,nipalensis
Falco,severus
Falco,tinnunculus
Arborophila,charltonii
Arborophila,rufogularis
